Especie ID;Nombre científico ;Nombre común;Clase;RCE;Titular;Fuente;Link;Usa N. Científico;Usa N. Común;Alcance;Es protagonsita;Tono predominante;Tiene foto;Endémica
71;Acalodegma vidali;;Insecta;EN;;;;;;;;;;Sí
72;Aegla bahamondei;Pancora;Malacostraca;EN;;;;;;;;;;Sí
73;Aegla concepcionensis;Pancora;Malacostraca;EN;;;;;;;;;;Sí
74;Aegla expansa;Pancora;Malacostraca;EN;;;;;;;;;;Sí
75;Aegla laevis;Pancora;Malacostraca;EN;;;;;;;;;;Sí
76;Aegla occidentalis;Pancora;Malacostraca;EN;;;;;;;;;;Sí
77;Aegla papudo;Pancora;Malacostraca;EN;;;;;;;;;;Sí
78;Allograpta robinsoniana;Mosca florícola de Juan Fernández;Insecta;EN;;;;;;;;;;Sí
79;Alsodes barrioi;Sapo de Barros;Amphibia;EN-RARA;;;;;;;;;;Sí
80;Alsodes cantillanensis;Sapo;Amphibia;EN;;;;;;;;;;Sí
81;Alsodes montanus;Sapo de monte;Amphibia;EN-RARA;;;;;;;;;;Sí
82;Alsodes tumultuosus;Sapo;Amphibia;EN-RARA;;;;;;;;;;Sí
83;Alsodes valdiviensis;Rana de pecho espinoso de Cordillera Pelada;Amphibia;EN;;;;;;;;;;Sí
84;Alsodes vanzolinii;Sapo de Vanzolini;Amphibia;EN-RARA;;;;;;;;;;Sí
85;Alsodes verrucosus;Sapo de pecho espinoso de verrugas;Amphibia;EN;;;;;;;;;;Sí
86;Alyma quiriquinaensis;Típula pintada;Insecta;EN;;;;;;;;;;Sí
87;Americobdella valdiviana;Liguay, sanguijuela gigante valdiviana;Clitellata;EN;;;;;;;;;;Sí
88;Amphidoxa arctispira;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;;Sí
89;Amphidoxa ceroides;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;;Sí
90;Amphidoxa helicophantoides;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;;Sí
91;Amphidoxa marmorella;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;;Sí
92;Amphidoxa pusio;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;;Sí
