REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
De Los Ríos (XIV);Mosca florícola valdiviana gigante;Valdiviomyia gigantea;Animalia;Insecta;Sí;EN
De Los Lagos (X);Pancora;Aegla denticulata;Animalia;Malacostraca;Sí;CR
De Los Lagos (X);Gorgona amarilla-roja;Swiftia comauensis;Animalia;Anthozoa;Sí;CR
De Los Lagos (X);Liguay, sanguijuela gigante valdiviana;Americobdella valdiviana;Animalia;Clitellata;Sí;EN
De Los Lagos (X);Peladilla;Aplochiton zebra;Animalia;Actinopterygii;Sí;EN
De Los Lagos (X);Cochinilla de fieltro (genérico);Exallococcus laureliae;Animalia;Insecta;Sí;EN
De Los Lagos (X);Puye;Galaxias globiceps;Animalia;Actinopterygii;Sí;EN-RARA
De Los Lagos (X);Zorro de Chiloé;Lycalopex fulvipes;Animalia;Mammalia;Sí;EN
De Los Lagos (X);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
De Los Lagos (X);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
De Los Lagos (X);Mosca florícola valdiviana gigante;Valdiviomyia gigantea;Animalia;Insecta;Sí;EN
De Los Lagos (X);Camarón;Virilastacus rucapihuelensis;Animalia;Malacostraca;Sí;EN
Aysén (XI);Peladilla;Aplochiton zebra;Animalia;Actinopterygii;Sí;EN
Aysén (XI);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Insular;Peladilla;Aplochiton zebra;Animalia;Actinopterygii;Sí;EN
Insular;Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Juan Fernández;Rayadito de Más Afuera;Aphrastura masafuerae;Animalia;Aves;Sí;CR
Juan Fernández;Aguilucho de Más Afuera, aguilucho de Juan Fernández, blindado;Geranoaetus polyosoma exsul;Animalia;Aves;Sí;CR
Juan Fernández;Caracol terrestre Omalonyx;Omalonyx gayana;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Punctum;Punctum conicum;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Punctum;Punctum depressum;Animalia;Gastropoda;Sí;CR
Juan Fernández;Picaflor de Juan Fernández;Sephanoides fernandensis;Animalia;Aves;Sí;CR
Juan Fernández;Mosco de Juan Fernández, mosco de rostro dorado;Sterphus aurifrons;Animalia;Insecta;Sí;CR
Juan Fernández;caracol terrestre Succinea;Succinea cryptica;Animalia;Gastropoda;Sí;CR
